signal_id,触发日期,yaml_version_at_trigger,触发任务,桶,规则ID,标的代码,标的名称,申万一级行业,分桶基准代码,触发时指标值,阈值,当时组合状态,信号方向,建议动作,是否实际执行,执行日期,执行价格,回测预期胜率,回测预期中位收益_60d,回测预期中位收益_120d,回测预期中位收益_250d,事后60日收益%,事后120日收益%,事后250日收益%,事后60日超额沪深300%,事后120日超额沪深300%,事后250日超额沪深300%,事后60日超额分桶基准%,事后120日超额分桶基准%,事后250日超额分桶基准%,信号最终评价,备注
SIG-20260824-C-62,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,002170,芭田股份,农化制品,000905,4.3,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"互动易文本命中price[提价,涨价]、supply[产能利用率]，加权分4.3。"
SIG-20260824-C-63,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,300201,海伦哲,工程机械,000905,1.3,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,关键词命中supply[产能利用率]，加权分1.3（低于1.5但命中类别≥1，按宽松规则PASS）。
SIG-20260824-C-64,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,002709,天赐材料,电池,000905,5.4,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"互动易文本命中demand[订单饱满,需求旺盛]、price[涨价,价格上涨]，加权分5.4。"
SIG-20260824-C-65,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,300511,雪榕生物,种植业,000905,2.8,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[涨价]、supply[产能利用率]，加权分2.8。
SIG-20260824-C-66,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,000810,创维数字,黑色家电,000905,1.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[涨价]，加权分1.5。
SIG-20260824-C-67,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,002842,翔鹭钨业,小金属,000905,1.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[价格上涨]，加权分1.5。
SIG-20260824-C-68,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,002633,申科股份,通用设备,000905,1.2,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,关键词命中demand[订单饱满]，加权分1.2（低于1.5但命中类别≥1，按宽松规则PASS）。
SIG-20260824-C-69,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,301246,宏源药业,化学制药,000905,1.3,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,关键词命中supply[满产满销]，加权分1.3（低于1.5但命中类别≥1，按宽松规则PASS）。
SIG-20260824-C-70,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,300706,阿石创,半导体,000905,2.8,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[涨价]、supply[产能利用率]，加权分2.8。
SIG-20260824-C-71,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,301150,中一科技,电池,000905,2.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中demand[供不应求]、supply[满产满销]，加权分2.5。
SIG-20260824-C-72,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,301217,铜冠铜箔,电池,000905,5.7,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"互动易文本命中demand[供不应求]、price[涨价,量价齐升,价格持续上涨]，加权分5.7。"
SIG-20260824-C-73,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,301308,江波龙,半导体,000905,2.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中demand[供不应求]、supply[满产满销]，加权分2.5。
